Artigo,Data,Kg
FIO MX-1/69 108DEN(12TEX) 62%FIBRA METALIZADA 38%PA OP,29/06/2010,1198
FIO MX-1/92 187DEN(20.8TEX) 73%PES 27%PA BR,29/06/2010,3195
DTY 2X160/48DEN(35.6TEX) MI 100%PES SO,30/06/2010,1450
ELASTANO 140DEN(15.6TEX) 100%PUE SO,01/07/2010,2783
TREND-R 207/51DEN(23TEX) 93%PES 7%PUE SO,01/07/2010,1201
DTY 75/72DEN(8.3TEX) 0T 100%PES SO,01/07/2010,2314
LINACEO 300/96DEN(33.3TEX) 100%PES BR,02/07/2010,3004
SDY 150/48DEN(16.7TEX) 100%PES BR,02/07/2010,4461
SSY 100/24DEN(11.1TEX) 1350T 100%PES SO,02/07/2010,2988
SALDO DE PUE,02/07/2010,4862
DTY 150/48DEN(16.7TEX) 0T 100%PES SO,02/07/2010,448
DTY 150/48DEN(16.7TEX) 100%PES  - BRANCO,03/07/2010,328
PES FIADO OE 30/1NE(19.8TEX) 100%PES,03/07/2010,3342
RENOVA 190/60DEN(21.1TEX) 100%PES SO,03/07/2010,2734
DTY TP 150/108DEN(16.7TEX) 2H MI 100%PES SO,04/07/2010,956
DTY 150/48DEN(16.7TEX) 100%PES  - BRANCO,04/07/2010,3050
BAMBOO CONV. 40/1NE(14.9TEX) 100%CV,05/07/2010,3143
CV/PES OE 30/1NE(19.8TEX) 96%CV 4%PES,06/07/2010,3321
FIO MX-1/100 DYEING 110DEN(12.2TEX) 55%PES 45%FIBRA METALIZADA BR,06/07/2010,1820
ALGODAO PENTEADO 30/1NE(19.8TEX) 100%CO,07/07/2010,1662
CANCELADO,08/07/2010,2279
TREND-HU 190/51DEN(21.1TEX) 93%PES 7%PUE SO,08/07/2010,4188
BAMBOO CONV. 32/1NE(18.6TEX) 100%CV,08/07/2010,3779
CMD/CO CONV. 30/1NE(19.8TEX) 50%CMD 50%CO,08/07/2010,2569
BAMBOO/CO CONV. 40/1NE(14.9TEX) 70%CV 30%CO,09/07/2010,3337
TREND-R 207/51DEN(23TEX) 93%PES 7%PUE SO,09/07/2010,4111
ALGODAO FLAME CONV. 30/1NE(19.8TEX) 100%CO,09/07/2010,3747
DTY 2X70/68DEN(15.6TEX) HI 100%PA SO,09/07/2010,1265
ELASTANO 70DEN(7.8TEX) 100%PUE SO,09/07/2010,1836
ATY 200/144DEN(22.2TEX) 100%PA(PA 6) FD,10/07/2010,2702
ALGODAO FLAME PENT. 40/1NE(14.9TEX) 100%CO,11/07/2010,2589
ELASTANO 15DEN(1.7TEX) 100%PUE BR,12/07/2010,4841
CHUVISCO 165/48DEN(18.3TEX) 100%PES SO,13/07/2010,1798
SDY 300/10DEN(33.3TEX) 100%PES SO,14/07/2010,564
SDY 240/12DEN(26.7TEX) 100%PES BR,14/07/2010,946
CV/WO CONV. 30/1NE(19.8TEX) 80%CV 20%WO,14/07/2010,1075
ALGODAO CONV. 24/1NE(24.TEX) 100%CO,15/07/2010,4424
RESÍDUO DE POY PES100% SACO,15/07/2010,4900
SDY 300/10DEN(33.3TEX) 100%PES SO,15/07/2010,1273
SDY 100/36DEN(11.1TEX) 100%PES SO,15/07/2010,1198
GRACIA 75/36DEN(8.3TEX) 2000T 100%PES SO,16/07/2010,1263
PES FIADO CONV. 40/1NE(14.9TEX) 100%PES,16/07/2010,1526
POY CATIONICO 250/48DEN(27.8TEX) 100%PES SO,17/07/2010,4114
DTY 2X75/72DEN(16.7TEX) MI 100%PES SO,17/07/2010,88
ELASTANO 40/3DEN(4.4TEX) 100%PUE SO,17/07/2010,4102
SDY 45/36DEN(5TEX) 100%PES SO,17/07/2010,1064
CMD/CO CONV. 30/1NE(19.8TEX) 50%CMD 50%CO,17/07/2010,4874
BAMBOO/CO CONV. 40/1NE(14.9TEX) 70%CV 30%CO,17/07/2010,3519
DTY TP 75/34DEN(8.3TEX) 2H LI 100%PES SO,17/07/2010,2513
LINACEO 300/96DEN(33.3TEX) 100%PES BR,18/07/2010,580
PES/CV CONV. 30/1NE(19.8TEX) 65%PES 35%CV CONE MESCLA MEDIO,19/07/2010,4650
CRISPY 20DEN(2.2TEX) 100%PES SO,20/07/2010,3871
POY 500/96DEN(55.6TEX) 100%PES SO,21/07/2010,1043
DTY 2X200/48DEN(44.4TEX) 100%PES SO,22/07/2010,2562
FIBRA HCS 15DX32MM 15DEN(1.7TEX) 100%PES SO,22/07/2010,383
ALGODAO PENTEADO 30/1NE(19.8TEX) 100%CO,23/07/2010,2833
PES/CO/CV FUSION 30/1NE(19.8TEX) 50%PES 37%CO 13%CV,23/07/2010,980
PES/CV CONV. 40/1NE(14.9TEX) 50%PES 50%CV,24/07/2010,1615
FIO MX-1/100 110DEN(12.2TEX) 60%PES 40%MT BR,25/07/2010,3963
GRACIA 75/36DEN(8.3TEX) 2000T 100%PES SO,25/07/2010,791
VISCOSE MVS 30/1NE(19.8TEX) 100%CV,25/07/2010,1056
PES FIADO OE 30/1NE(19.8TEX) 100%PES,26/07/2010,1625
CV/PES CONV. 30/1NE(19.8TEX) 85%CV 15%PES,26/07/2010,326
ELASTANO 840DEN(93.3TEX) 100%PUE SO,26/07/2010,932
FIO MX-1/100 140DEN(15.6TEX) 65%PES 35%PA BR,26/07/2010,211
PES FIADO 120 - 5.000mt 100%PES  - CREME,26/07/2010,3873
SDY 50/1DEN(5.6TEX) 100%PES SO,27/07/2010,150
DTY TP 150/108DEN(16.7TEX) 2H MI 100%PES SO,28/07/2010,1526
DTY 70/72DEN(7.8TEX) 100%PA FD,29/07/2010,4682
ALGODAO CONV. 40/1NE(14.9TEX) 100%CO,30/07/2010,4809
ELASTANO 36DEN(4TEX) 100%PUE SO,31/07/2010,2988
DTY TP 150/108DEN(16.7TEX) 2H MI 100%PES SO,01/08/2010,4242
ELASTANO 70DEN(7.8TEX) 100%PES OP,01/08/2010,2778
SDY 100/36DEN(11.1TEX) 100%PES SO,02/08/2010,4385
CHUVISCO 165/48DEN(18.3TEX) 100%PES SO,03/08/2010,4335
SCENE 100/24DEN(11.1TEX) 1200T 100%PA BR,03/08/2010,1997
FIBRA HCS 7DX32MM 7DEN(0.8TEX) 100%PES SO,03/08/2010,1490
DTY 2X160/48DEN(35.6TEX) MI 100%PES SO,03/08/2010,620
CV/PES OE 30/1NE(19.8TEX) 96%CV 4%PES,04/08/2010,1551
DTY 78/72DEN(8.7TEX) 100%PA(PA 6) FD,05/08/2010,4111
HELFSPIN SBS 100/24DEN(11.1TEX) 1200T 100%PES SO,06/08/2010,4769
TREND-R 207/51DEN(23TEX) 93%PES 7%PUE SO,07/08/2010,2644
VISCOSE OE 30/1NE(19.8TEX) 100%CV,07/08/2010,1737
DTY 150/48DEN(16.7TEX) 100%PES,07/08/2010,3443
POY 245/48DEN(27.2TEX) 100%PES SO,08/08/2010,1331
GENTOS 65/192DEN(7.2TEX) 100%PES SO,09/08/2010,229
VISCOSE MVS 30/1NE(19.8TEX) 100%CV,09/08/2010,2419
DTY 150/48DEN(16.7TEX) 100%PES,10/08/2010,3545
FIO MX-1/100 140DEN(15.6TEX) 65%PES 35%PA BR,10/08/2010,1492
PES FIADO 120 - 5.000mt 100%PES  - VERDE ESCURO,10/08/2010,3507
ALGODAO CONV. 30/1NE(19.8TEX) 100%CO,10/08/2010,1533
LINACEO 150/96DEN(16.7TEX) 0T 100%PES SO,11/08/2010,1749
PES FIADO CONV. 40/1NE(14.9TEX) 100%PES,11/08/2010,1843
ELASTANO 70DEN(7.8TEX) 100%PUE BR,11/08/2010,4347
ELASTANO 70/5DEN(7.8TEX) 100%PUE SO,11/08/2010,4318
VISCOSE CONV. 40/1NE(14.9TEX) 100%CV,12/08/2010,3181
DTY 2X70/24DEN(15.6TEX) 100%PA(PA 6) SO,12/08/2010,3302
SDY 75/36DEN(8.3TEX) 100%PES BR,12/08/2010,714
DTY 150/108DEN(16.7TEX) LI 100%PES SO,12/08/2010,3950
PES/CV MVS 30/1NE(19.8TEX) 65%PES 35%CV,12/08/2010,3001
GENTOS 130/408DEN(14.4TEX) 100%PES SO,13/08/2010,663
DTY 75/72DEN(8.3TEX) 1H HI 100%PES SO,14/08/2010,3009
SDY 100/34DEN(11.1TEX) 100%PES SO,14/08/2010,4870
ELASTANO 140DEN(15.6TEX) 100%PUE SO,15/08/2010,4043
SSY 100/24DEN(11.1TEX) 100%PES SO,16/08/2010,2331
SALDO DE PUE,17/08/2010,3854
ELASTANO 40DEN(4.4TEX) 100%PUE BR,17/08/2010,1425
DTY 2X70/72DEN(15.6TEX) 100%PA(PA 6) FD,18/08/2010,4639
ALGODAO CONV. 40/1NE(14.9TEX) 100%CO,18/08/2010,3663
PES/CV MVS 28/1NE(21.2TEX) 67%PES 33%CV,19/08/2010,2419
ALGODAO PENTEADO 40/1NE(14.9TEX) 100%CO,19/08/2010,3565
ELASTANO 20DEN(2.2TEX) 100%PUE SO,20/08/2010,1742
ATY 160/136DEN(17.8TEX) 100%PA SO,20/08/2010,444
CV/CO CONV. 30/1NE(19.8TEX) 60%CV 40%CO,21/08/2010,4525
DTY 75/72DEN(8.3TEX) 1H MI 100%PES FD,21/08/2010,3159
CHUVISCO 100/48DEN(11.1TEX) 100%PES SO,22/08/2010,1627
PES/CV MVS 20/1NE(29.7TEX) 65%PES 35%CV,23/08/2010,1510
CV/PES CONV. 30/1NE(19.8TEX) 90%CV 10%PES,24/08/2010,4921
FIO MX-1/100 87DEN(9.7TEX) 65%PES 35%PA BR,24/08/2010,1005
FIBRA HCS 7DX32MM 7DEN(0.8TEX) 100%PES SO,25/08/2010,2459
FIO MX-1/187 60DEN(6.7TEX) 65%PA 35%PES BR,26/08/2010,2060
SSY 100/24DEN(11.1TEX) 1350T 100%PES SO,27/08/2010,1450
TREND-R 207/51DEN(23TEX) 93%PES 7%PUE SO,27/08/2010,4363
CHUVISCO 100/48DEN(11.1TEX) 100%PES SO,27/08/2010,4051
DTY 75/72DEN(8.3TEX) 0T 100%PES SO,28/08/2010,1989
CV/PES OE 30/1NE(19.8TEX) 75%CV 25%PES,28/08/2010,3068
ESPOL-S 300/144DEN(33.3TEX) 100%PES SO,29/08/2010,448
PES/CV MVS 28/1NE(21.2TEX) 67%PES 33%CV,30/08/2010,3175
AMOSTRAS DE FIOS TXT 100%PA BOBINA CRU,30/08/2010,469
ELASTANO 40DEN(4.4TEX) 100%PUE SO,31/08/2010,2571
DTY TP 150/108DEN(16.7TEX) 2H MI 100%PES SO,31/08/2010,902
PN 160/72DEN(17.8TEX) 100%PES SO,31/08/2010,4281
ELASTANO 70DEN(7.8TEX) 100%PUE BR,31/08/2010,3782
FIO MX-1/100 140DEN(15.6TEX) 65%PES 35%PA BR,31/08/2010,502
DTY 75/72DEN(8.3TEX) LI 100%PES SO,01/09/2010,4123
DTY 100/144DEN(11.1TEX) 2H 100%PES SO,02/09/2010,3631
CV/PES OE 30/1NE(19.8TEX) 70%CV 30%PES,02/09/2010,2390
ALGODAO OE 10/1NE(59.5TEX) 100%CO,02/09/2010,2595
PES/CV CONV. 40/1NE(14.9TEX) 65%PES 35%CV,02/09/2010,2813
CHUVISCO 40/24DEN(4.4TEX) 100%PES SO,03/09/2010,1391
VISCOSE MVS 40/1NE(14.9TEX) 100%CV,03/09/2010,1603
GRACIA 75/36DEN(8.3TEX) 2000T 100%PES SO,04/09/2010,4270
FIO MX-1/92 187DEN(20.8TEX) 73%PES 27%PA BR,05/09/2010,2914
PES FIADO CONV. 60/1NE(9.9TEX) 100%PES,06/09/2010,4852
ELASTANO 15DEN(1.7TEX) 100%PUE BR,06/09/2010,3051
CV/PA CONV. 30/1NE(19.8TEX) 70%CV 30%PA,06/09/2010,67
DTY 2X70/68DEN(15.6TEX) 100%PA(PA 6.6) SO,07/09/2010,1371
SDY 50/24DEN(5.6TEX) 100%PES SO,08/09/2010,3650
POY 130/72DEN(14.4TEX) 100%PES FD,08/09/2010,4920
GRACIA 75/36DEN(8.3TEX) 2000T 100%PES SO,09/09/2010,3756
ELASTANO 40DEN(4.4TEX) 100%PUE BR,10/09/2010,3855
DTY 200/96DEN(22.2TEX) 100%PES SO,11/09/2010,4769
PES FIADO OE 40/1NE(14.9TEX) 100%PES,11/09/2010,3577
SDY 100/34DEN(11.1TEX) 100%PES SO,11/09/2010,446
FIO MX-1/100 87DEN(9.7TEX) 52%FIBRA METALIZADA 48%PA BR,12/09/2010,4062
ATY 200/144DEN(22.2TEX) 100%PA(PA 6) FD,12/09/2010,434
DTY 2X70/24DEN(15.6TEX) 100%PA(PA 6) SO,13/09/2010,4219
PES/CV CONV. 40/1NE(14.9TEX) 50%PES 50%CV,13/09/2010,2171
DIAMANTE 80/12DEN(8.9TEX) 100%PES BR,13/09/2010,2465
PES FIADO CONV. 50/1NE(11.9TEX) 100%PES,14/09/2010,2744
RENOVA 190/60DEN(21.1TEX) 100%PES SO,14/09/2010,280
DTY 70/24DEN(7.8TEX) 100%PA SO,14/09/2010,2435
DTY 75/34DEN(8.3TEX) MI 100%PES SO,14/09/2010,557
DELL 4 90/37DEN(10TEX) 92%PA 8%PUE SO,14/09/2010,118
DTY 2X100/68(11.1TEX) MI 100%PA SO,14/09/2010,3186
ALGODAO PENT. COMPAC 40/1NE(14.9TEX) 100%CO,15/09/2010,4367
DTY TP 75/34DEN(8.3TEX) 2H LI 100%PES SO,15/09/2010,1271
CO/CV CONV. 30/1NE(19.8TEX) 50%CO 50%CV,15/09/2010,1218
DTY 300/96DEN(33.3TEX) 0T 100%PES SO,15/09/2010,522
SDY 100/36DEN(11.1TEX) 100%PES SO,16/09/2010,676
CV/CL CONV. 30/1NE(19.8TEX) 80%CV 20%CL,17/09/2010,1275
CANCELADO-RESIDUO DE FIO-MX  PES52% PA48% SACOS,18/09/2010,4016
CONECTE 150/36DEN(16.7TEX) 800T 53%PES 47%PA SO,18/09/2010,3733
ELASTANO 90/6DEN(10TEX) 100%PUE SO,19/09/2010,4641
ALGODAO OE 8/1NE(74.3TEX) 100%CO,19/09/2010,3856
SDY 30DEN(3.3TEX) 100%PES SO,20/09/2010,3926
SDY 75/24DEN(8.3TEX) 100%PES SO,21/09/2010,2165
DTY 70/36DEN(7.8TEX) 0T 100%PES SO,22/09/2010,4535
VISCOSE NEW FLAME 30/1NE(19.8TEX) 100%CV,23/09/2010,4196
DTY 75/72DEN(8.3TEX) 1H MI 100%PES FD,24/09/2010,543
PES/CV MVS 20/1NE(29.7TEX) 65%PES 35%CV,24/09/2010,351
HMY 150/288DEN(16.7TEX) 100%PES SO,24/09/2010,4552
PES FIADO 120 - 5.000mt 100%PES  - PRETO,25/09/2010,4079
FIO MX-1/100 87DEN(9.7TEX) 65%PES 35%PA BR,25/09/2010,1379
GRACIA 75/36DEN(8.3TEX) 2000T 100%PES SO,25/09/2010,3643
FIO MX-1/69 108DEN(12TEX) 62%PES 38%PA BR,26/09/2010,4601
ICESPOL 145/60DEN(16.1TEX) 52%PES 48%PA SO,26/09/2010,4291
DTY 190/54DEN(21.1TEX) 100%PA SO,27/09/2010,671
DTY 190/54DEN(21.1TEX) 100%PA SO,27/09/2010,1918
RESÍDUO DE POY PES100% SACO,27/09/2010,2916
CV/CO OPEN END 30/1NE(19.8TEX) 80%CV 20%CO,28/09/2010,1281
ELASTANO 30DEN(3.3TEX) 100%PUE SO,29/09/2010,4919
MESCLA 150/72DEN(16.7TEX) 800T 100%PES SO,30/09/2010,3981
ALGODAO FLAME CONV. 30/1NE(19.8TEX) 100%CO,30/09/2010,2963
POY 125/72DEN(13.9TEX) 100%PES SO,01/10/2010,2719
VISCOSE RS CONV. 30/1NE(19.8TEX) 100%CV,01/10/2010,3292
DTY 150/108DEN(16.7TEX) LI 100%PES SO,02/10/2010,1302
VISCOSE RS CONV. 30/1NE(19.8TEX) 100%CV,03/10/2010,380
CV/CL CONV. 30/1NE(19.8TEX) 85%CV 15%CL,03/10/2010,4218
PES/CV MVS 28/1NE(21.2TEX) 65%PES 35%CV,03/10/2010,3739
CO/CV PENT. 36/1NE(16.5TEX) 98%CO 2%CV,04/10/2010,2825
POY CATIONICO 130/72DEN(14.4TEX) 100%PES SO,04/10/2010,1760
PES/CV CONV. 30/1NE(19.8TEX) 65%PES 35%CV CONE MESCLA MEDIO,04/10/2010,3907
FDY 70/24DEN(7.8TEX) 100%PA SO,04/10/2010,3142
CV/CL CONV. 30/1NE(19.8TEX) 85%CV 15%CL,05/10/2010,2471
ELASTANO 40DEN(4.4TEX) 100%PUE SO,05/10/2010,2825
PES/CV CONV. 28/1NE(21.2TEX) 65%PES 35%CV,05/10/2010,2535
DTY 75/34DEN(8.3TEX) 2H 0T 100%PES SO,05/10/2010,2685
DTY 2X70/36DEN(15.6TEX) 100%PA SO,05/10/2010,1912
VISCOSE OE 36/1NE(16.5TEX) 100%CV,05/10/2010,4190
SDY 300/10DEN(33.3TEX) 100%PES SO,05/10/2010,4706
FIO MX-1/100 87DEN(9.7TEX) 50%MT 50%PES BR,05/10/2010,1710
ALGODAO CONV. 30/1NE(19.8TEX) 100%CO,06/10/2010,3161
PES FIADO 120 - 5.000mt 100%PES  - PRETO,06/10/2010,4114
ELASTANO 90/6DEN(10TEX) 100%PUE SO,06/10/2010,4662
CV/CL CONV. 30/1NE(19.8TEX) 90%CV 10%CL,07/10/2010,2860
PES/CV MVS 20/1NE(29.7TEX) 65%PES 35%CV,08/10/2010,713
PES FIADO 120 - 5.000mt 100%PES  - PRETO,09/10/2010,4140
ELASTANO 40/3DEN(4.4TEX) 100%PUE SO,09/10/2010,855
SDY 200/10DEN(22.2TEX) 100%PES SO,09/10/2010,2568
OWSPIN 100/34DEN(11.1TEX) 600T 100%PES SO,10/10/2010,759
FIO MX-1/69 108DEN(12TEX) 62%PES 38%PA BR,11/10/2010,4213
ATY 200/144DEN(22.2TEX) 100%PA(PA 6) FD,12/10/2010,4623
HELFSPIN SBS 100/24DEN(11.1TEX) 1200T 100%PES SO,12/10/2010,1170
FIO MX-1/100 87DEN(9.7TEX) 52%FIBRA METALIZADA 48%PA BR,12/10/2010,4997
CV/CL/CO CONV. 30/1NE(19.8TEX) 80%CV 10%CL 10%CO,12/10/2010,1321
CV/WO CONV. 30/1NE(19.8TEX) 80%CV 20%WO,13/10/2010,2592
PES/CV MVS 30/1NE(19.8TEX) 65%PES 35%CV,14/10/2010,3533
ELASTANO 70DEN(7.8TEX) 100%PUE SO,14/10/2010,1117
PN 160/72DEN(17.8TEX) 100%PES SO,14/10/2010,1132
DTY 75/72DEN(8.3TEX) MI 100%PES SO,15/10/2010,3851
GENTOS 65/192DEN(7.2TEX) 100%PES SO,16/10/2010,2026
DTY 2X80/68DEN(17.8TEX) 100%PA(PA 6) FD,17/10/2010,3932
VISCOSE CONV. 30/1NE(19.8TEX) 100%CV,18/10/2010,735
TREND-HU 190/51DEN(21.1TEX) 93%PES 7%PUE SO,19/10/2010,2929
DTY 190/51DEN(21.1TEX) 1H LI 100%PES SO,20/10/2010,4239
POY CATIONICO 250/48DEN(27.8TEX) 100%PES SO,20/10/2010,1421
ELASTANO 30DEN(3.3TEX) 100%PUE SO,21/10/2010,332
SDY 20DEN(2.2TEX) 100%PES BR,21/10/2010,2490
POY 125/36DEN(13.9TEX) 100%PES SO,22/10/2010,986
GENTOS 65/204DEN(7.2TEX) 100%PES SO,23/10/2010,1295
FIO MX-1/100 140DEN(15.6TEX) 70%PES 30%PA BR,23/10/2010,1151
HMY 150/288DEN(16.7TEX) 100%PES SO,23/10/2010,1834
FIO MX-1/187 60DEN(6.7TEX) 65%PA 35%FIBRA METALIZADA BR,23/10/2010,4382
CV/CO CONV. 30/1NE(19.8TEX) 60%CV 40%CO,23/10/2010,3571
ALGODAO OE 10/1NE(59.5TEX) 100%CO,23/10/2010,2318
FIO MX-1/69 110DEN(12.2TEX) 55%MT 45%PES BR,24/10/2010,4591
ELASTANO 70/5DEN(7.8TEX) 100%PUE SO,25/10/2010,397
CO/CV CONV. 30/1NE(19.8TEX) 50%CO 50%CV,25/10/2010,4428
DTY 150/48DEN(16.7TEX) 2H 0T 100%PES SO,26/10/2010,3256
POY 130/72DEN(14.4TEX) 100%PES SO,27/10/2010,2629
PES FIADO 120 - 5.000mt 100%PES  - CREME,28/10/2010,3804
CHUVISCO 165/48DEN(18.3TEX) 100%PES SO,28/10/2010,1960
LINACEO 167/48DEN(18.6TEX) 0T 100%PES SO,29/10/2010,4644
CHUVISCO 100/48DEN(11.1TEX) 100%PES SO,29/10/2010,3655
MESCLA 150/72DEN(16.7TEX) 800T 100%PES SO,29/10/2010,4444
ALGODAO FLAME CONV. 30/1NE(19.8TEX) 100%CO,30/10/2010,4529
FIO MX-1/92 187DEN(20.8TEX) 73%PES 27%PA BR,30/10/2010,4976
DTY 150/48DEN(16.7TEX) 100%PES  - CREME,31/10/2010,2120
RESÍDUO DE POY PES100% SACO,31/10/2010,1955
ELASTANO 15DEN(1.7TEX) 100%PUE SO,31/10/2010,4596
ELASTANO 36DEN(4TEX) 100%PUE SO,31/10/2010,1328
ELASTANO 30DEN(3.3TEX) 100%PUE SO,31/10/2010,380
SDY 300/10DEN(33.3TEX) 100%PES SO,01/11/2010,1677
POY 130/72DEN(14.4TEX) 100%PES FD,02/11/2010,2914
ELASTANO 840DEN(93.3TEX) 100%PUE SO,03/11/2010,2281
DTY TP 150/108DEN(16.7TEX) 2H MI 100%PES SO,04/11/2010,2182
DTY 100/144DEN(11.1TEX) 2H 100%PES SO,04/11/2010,468
GENTOS 65/192DEN(7.2TEX) 100%PES SO,05/11/2010,4202
OWSPIN 100/34DEN(11.1TEX) 600T 100%PES SO,06/11/2010,3527
ELASTANO 20DEN(2.2TEX) 100%PUE SO,06/11/2010,1707
FIO MX-1/100 102DEN(11.3TEX) 60%PA 40%PES BR,06/11/2010,3729
POY 130/72DEN(14.4TEX) 100%PES FD,06/11/2010,492
FIO MX-1/100 87DEN(9.7TEX) 65%PES 35%PA BR,07/11/2010,105
DTY 150/144DEN(16.7TEX) 2H MI 100%PES SO,07/11/2010,2438
PES/CV CONV. 40/1NE(14.9TEX) 52%PES 48%CV,08/11/2010,3907
PES/CV CONV. 30/1NE(19.8TEX) 65%PES 35%CV,08/11/2010,353
SSY 100/24DEN(11.1TEX) 1350T 100%PES SO,08/11/2010,2580
DTY 2X70/72DEN(15.6TEX) 100%PA(PA 6) FD,08/11/2010,1058
SALDO DE PUE,08/11/2010,2228
PES/CO CONV. 30/1NE(19.8TEX) 52%PES 48%CO,09/11/2010,2624
DTY 150/144DEN(16.7TEX) 2H MI 100%PES SO,09/11/2010,4645
LINACEO TP 75/72DEN(8.3TEX) 2H 0T 100%PES SO,10/11/2010,4217
PES/CO CONV. 30/1NE(19.8TEX) 52%PES 48%CO,10/11/2010,159
VISCOSE RS CONV. 30/1NE(19.8TEX) 100%CV,10/11/2010,1634
DTY 70/24DEN(7.8TEX) 100%PA SO,11/11/2010,758
CO/CV PENT. 36/1NE(16.5TEX) 98%CO 2%CV,11/11/2010,256
DTY 300/72DEN(33.3TEX) 100%PES SO,11/11/2010,4225
SENSE 100/48DEN(11.1TEX) 1000T 100%PES SO,11/11/2010,3625
POY 270/48DEN(30TEX) 100%PES SO,12/11/2010,4152
ALGODAO PENTEADO 50/1NE(11.9TEX) 100%CO,13/11/2010,2755
DTY 70/72DEN(7.8TEX) 100%PA FD,13/11/2010,2162
ESPOL-S 300/144DEN(33.3TEX) 100%PES SO,14/11/2010,2438
DTY FT 70/34DEN(7.8TEX) 100%PA SO,14/11/2010,3620
DTY 75/72DEN(8.3TEX) MI 100%PES SO,14/11/2010,1220
LINACEO TP 75/72DEN(8.3TEX) 2H 0T 100%PES SO,15/11/2010,708
FIO MX-1/69 110DEN(12.2TEX) 55%MT 45%PES BR,16/11/2010,616
NICOMA 20/1NE(29.7TEX) 100%PA SO,17/11/2010,1077
ALGODAO FLAME PENT. 40/1NE(14.9TEX) 100%CO,18/11/2010,311
SDY 300/10DEN(33.3TEX) 100%PES SO,19/11/2010,1231
FIO MX-1/100 87DEN(9.7TEX) 50%MT 50%PES BR,19/11/2010,4515
CV/PES OE 30/1NE(19.8TEX) 96%CV 4%PES,19/11/2010,2747
PES/CV MVS 40/1NE(14.9TEX) 67%PES 33%CV,19/11/2010,705
FIO MX-1/92 187DEN(20.8TEX) 73%PES 27%PA BR,20/11/2010,1285
POY 500/96DEN(55.6TEX) 100%PES SO,21/11/2010,3462
DTY 78/72DEN(8.7TEX) 100%PA(PA 6) FD,22/11/2010,1188
PN 160/72DEN(17.8TEX) 100%PES SO,23/11/2010,4784
VISCOSE OE 40/1NE(14.9TEX) 100%CV,23/11/2010,329
RENOVASPIN B 190/60DEN(21.1TEX) 1000T 100%PES SO,24/11/2010,1112
POY 500/96DEN(55.6TEX) 100%PES SO,24/11/2010,3660
POY 130/72DEN(14.4TEX) 100%PES FD,25/11/2010,2814
CO/CV PENT. 36/1NE(16.5TEX) 98%CO 2%CV,25/11/2010,2005
PES/CO/CV FUSION 30/1NE(19.8TEX) 50%PES 37%CO 13%CV,25/11/2010,3847
PES FIADO 120 - 5.000mt 100%PES  - VERDE ESCURO,25/11/2010,227
FIO MX-1/69 108DEN(12TEX) 62%FIBRA METALIZADA 38%PA OP,25/11/2010,4408
CV/CO CONV. 30/1NE(19.8TEX) 60%CV 40%CO,25/11/2010,4779
RENOVASPIN B 190/60DEN(21.1TEX) 1000T 100%PES SO,25/11/2010,1268
ELASTANO 30DEN(3.3TEX) 100%PUE SO,25/11/2010,1474
FITA MX-1/69 64DEN(7.1TEX) 100%PES BR,25/11/2010,869
POY 125/36DEN(13.9TEX) 100%PES SO,25/11/2010,2045
FIO MX-1/69 108DEN(12TEX) 100%PA BR,26/11/2010,1446
POY CATIONICO 250/48DEN(27.8TEX) 100%PES SO,27/11/2010,4950
DTY 75/144DEN(8.3TEX) 2H 100%PES SO,27/11/2010,4422
DTY TP 75/34DEN(8.3TEX) 2H MI 100%PES SO,28/11/2010,2596
DTY 70/68DEN(7.8TEX) 100%PA(PA 6) SO,29/11/2010,4678
CV/PES CONV. 30/1NE(19.8TEX) 55%CV 45%PES,29/11/2010,1139
PES/CV CONV. 40/1NE(14.9TEX) 65%PES 35%CV,29/11/2010,301
PES/CV CONV. 30/1NE(19.8TEX) 65%PES 35%CV,29/11/2010,3089
GENTOS 65/192DEN(7.2TEX) 100%PES SO,29/11/2010,3183
DTY 2X75/72DEN(16.7TEX) MI 100%PES SO,30/11/2010,2842
FIO MX-1/100 87DEN(9.7TEX) 52%PES 48%PA BR,30/11/2010,4887
ALGODAO CONV. 30/1NE(19.8TEX) 100%CO,01/12/2010,2551
GENTOS 65/204DEN(7.2TEX) 100%PES SO,02/12/2010,2193
SDY 360/12DEN(40TEX) 100%PA SO,03/12/2010,2165
PES/CV CONV. 40/1NE(14.9TEX) 65%PES 35%CV,04/12/2010,1964
ATY 160/144DEN(17.7TEX) 100%PA(PA 6) FD,04/12/2010,682
FIO MX-1/69 108DEN(12TEX) 100%PA BR,05/12/2010,1968
PN 160/72DEN(17.8TEX) 100%PES SO,05/12/2010,4012
TREND-HU 190/51DEN(21.1TEX) 93%PES 7%PUE SO,05/12/2010,3078
PAC/WO CONV. 24/1NE(24.TEX) 90%PAC 10%WO,05/12/2010,1260
FIO MX-1/100 102DEN(11.3TEX) 60%PA 40%PES BR,05/12/2010,3990
SALDO DE POY PES100%,05/12/2010,2610
CHUVISCO 40/24DEN(4.4TEX) 100%PES SO,05/12/2010,196
ICESPIN-12 100/24DEN(11.1TEX) 1200T 100%PA SO,06/12/2010,2861
FIO MX-1/100 87DEN(9.7TEX) 52%PES 48%PA BR,06/12/2010,1891
HMY 100/192DEN(11.1TEX) 100%PES SO,06/12/2010,2717
